cc_id,cc_name,cc_symbol,volume24h
18966,Mayflower AI,MAY,2327485.06811159
38550,Pipe Network,PIPE,2279132.0702234
32110,American Coin,USA,2278800.56872922
37728,PublicAI,PUBLIC,2173913.39600958
36849,Unstable Coin (usduc.org),USDUC,2160872.44935535
37082,Tether Gold Tokens,XAUT0,2100109.17801663
37055,Meta tokenized stock (xStock),METAX,2075425.57437209
31246,GameBuild,GAME,2013274.0723053
38637,币安Holder,BNBHOLDER,1988544.4145524
19743,MSQUARE GLOBAL,MSQ,1965037.22412576
36804,Lumera Health,LUR,1936581.17722686
34330,Freysa,FAI,1868968.10930481
30460,Burnedfi,BURN,1851752.87768345
4953,FirmaChain,FCT,1835440.43476421
34017,PinLink,PIN,1815031.20317286
35721,Falcon USD,USDF,1722690.91617983
9674,Wilder World,WILD,1683002.23856313
38067,SPDR S&P 500 Tokenized ETF (Ondo),SPYON,1635496.31023161
2499,SwissBorg,BORG,1625913.62580145
36078,Mansory,MNSRY,1620025.93920109
35954,Loaded Lions,LION,1604088.41116593
38170,OpenVPP,OVPP,1580377.04085237
38585,GeorgePlaysClashRoyale,CLASH,1576878.86848981
35216,Pythia,PYTHIA,1559682.24222701
10430,Argentine Football Association Fan Token,ARG,1489590.28248104
30902,Landwolf 0x67,WOLF,1476276.73242602
30859,Hoppy,HOPPY,1457634.89186524
5468,Isiklar Coin,ISIKC,1453180.27816872
21706,SuperWalk,GRND,1433457.31720819
38562,USDai,USDAI,1415960.39822308
5908,dKargo,DKA,1316156.25451002
32171,Purple Pepe,$PURPE,1307900.26461951
37745,c8ntinuum,CTM,1299251.37446118
33108,X Empire,X,1285371.05714789
3327,SIX Token,SIX,1281371.44681786
20245,Comtech Gold,CGO,1240479.31929721
35430,CreatorBid,BID,1228974.63448872
32498,SIGMA,SIGMA,1195132.28405329
37006,SP500 tokenized ETF (xStock),SPYX,1188169.2147658
18895,MARBLEX,MBX,1163799.70005068
33165,PussFi,PUSS,1155818.58409634
30953,ShibaBitcoin,SBBTC,1145583.27657105
35092,Hey Anon,ANON,1115001.08920531
37016,Klickl Token,KLK,1101850.74986748
11374,DAR Open Network,D,1095490.29194675
30493,nubcat,NUB,1078630.38714127
32035,My Lovely Planet,MLC,1078482.10081535
36355,Hosico,HOSICO,1067298.16040066
6739,LumiWave,LWA,1059767.65213208
37245,Tharwa,TRWA,1034280.58877166
37279,DOWGE,DJI6930,1014791.06343776
36215,Apertum,APTM,1010862.13339365
3673,ASD,ASD,941423.254715
21156,STAT,STAT,933356.19147783
30825,KARRAT,KARRAT,919696.83550732
38029,Tesla Tokenized Stock (Ondo),TSLAON,917514.52699842
8534,Chintai,CHEX,875925.01182869
36056,Xphere,XP,873673.11560489
22354,Quai Network,QUAI,831861.11437253
38237,Forest Protocol,FOREST,828885.25935724
35437,Aster USDF,USDF,815907.28302242
22985,IMPT,IMPT,813371.46358828
31921,RETARDIO,RETARDIO,786691.77811666
30168,Stratis [New],STRAX,776058.48106235
35621,Sogni AI,SOGNI,766883.45768256
38346,Pandu Pandas,PANDU,762296.71376199
3661,Stronghold SHx,SHX,750426.53535278
26863,PLAYA3ULL GAMES,3ULL,734408.89795298
5228,Galatasaray Fan Token,GAL,723220.78953608
20561,MESSIER,M87,717477.95438883
34271,Rizzmas,RIZZMAS,709833.3608342
23508,GHO,GHO,706955.85744544
5161,WazirX,WRX,702876.77453639
33964,OpenServ,SERV,672096.2023121
36803,Torch of Liberty,LIBERTY,663944.06274496
35900,Homebrew Robotics Club,BREW,660812.54428472
11223,MetaMUI,MMUI,656105.49007675
38094,Invesco QQQ Tokenized ETF (Ondo),QQQON,631929.3059878
36234,Fair and Free,FAIR3,630232.91947038
35637,BitDCA,BDCA,619647.40450365
36393,Boop,BOOP,609252.78819778
25241,Graphite Protocol,GP,600113.29974199
16360,Gearbox Protocol,GEAR,596209.8160745
37506,Delabs Games,DELABS,594157.08483729
27369,U2U Network,U2U,583628.95893173
5275,Paycoin,PCI,540887.34087849
35572,San Chan,SAN,539881.43153808
36990,PePeonTron,PEPEONTRON,539019.17742549
36226,REDX,REDX,538044.25415772
8620,TOWER,TOWER,536258.63122752
15271,Rollbit Coin,RLB,534991.43606654
35795,DRX Token,DRX,520047.63799746
8720,Inverse Finance,INV,513716.95865643
16612,Nosana,NOS,495884.44926595
29960,Shuffle,SHFL,491996.76177455
34648,Vader,VADER,491785.89219249
35052,Opus,OPUS,475831.61469448
34212,Matrixdock Gold,XAUM,475086.66113093
38776,Petro Penguins,PENGO,474917.72872911
36418,Jager Hunter,JAGER,470791.05736469
16481,Kasta,KASTA,467118.45012623
36939,AIVille Governance Token,AIV,466257.17467881
35669,Central African Republic Meme,CAR,466222.35851801
22359,XPLA,XPLA,462750.44856764
35426,Fartboy,FARTBOY,460072.13850305
